Fecha 	Turno
42132	Turno B
42133	Turno B
42134	Turno B
42135	Turno B
42136	Turno A
42137	Turno A
42138	Turno A
42139	Turno A
42140	Turno B
42141	Turno B
42142	Turno B
42143	Turno B
42144	Turno A
42145	Turno A
42146	Turno A
42147	Turno A
42148	Turno B
42149	Turno B
42150	Turno B
42151	Turno B
42152	Turno A
42153	Turno A
42154	Turno A
42155	Turno A
42156	Turno B
42157	Turno B
42158	Turno B
42159	Turno B
42160	Turno A
42161	Turno A
42162	Turno A
42163	Turno A
42164	Turno B
42165	Turno B
42166	Turno B
42167	Turno B
42168	Turno A
42169	Turno A
42170	Turno A
42171	Turno A
42172	Turno B
42173	Turno B
42174	Turno B
42175	Turno B
42176	Turno A
42177	Turno A
42178	Turno A
42179	Turno A
42180	Turno B
42181	Turno B
42182	Turno B
42183	Turno B
42184	Turno A
42185	Turno A
42186	Turno A
42187	Turno A
42188	Turno B
42189	Turno B
42190	Turno B
42191	Turno B
42192	Turno A
42193	Turno A
42194	Turno A
42195	Turno A
42196	Turno B
42197	Turno B
42198	Turno B
42199	Turno B
42200	Turno A
42201	Turno A
42202	Turno A
42203	Turno A
42204	Turno B
42205	Turno B
42206	Turno B
42207	Turno B
42208	Turno A
42209	Turno A
42210	Turno A
42211	Turno A
42212	Turno B
42213	Turno B
42214	Turno B
42215	Turno B
42216	Turno A
42217	Turno A
42218	Turno A
42219	Turno A
42220	Turno B
42221	Turno B
42222	Turno B
42223	Turno B
42224	Turno A
42225	Turno A
42226	Turno A
42227	Turno A
42228	Turno B
42229	Turno B
42230	Turno B
42231	Turno B
42232	Turno A
42233	Turno A
42234	Turno A
42235	Turno A
42236	Turno B
42237	Turno B
42238	Turno B
42239	Turno B
42240	Turno A
42241	Turno A
42242	Turno A
42243	Turno A
42244	Turno B
42245	Turno B
42246	Turno B
42247	Turno B
42248	Turno A
42249	Turno A
42250	Turno A
42251	Turno A
42252	Turno B
42253	Turno B
42254	Turno B
42255	Turno B
42256	Turno A
42257	Turno A
42258	Turno A
42259	Turno A
42260	Turno B
42261	Turno B
42262	Turno B
42263	Turno B
42264	Turno A
42265	Turno A
42266	Turno A
42267	Turno A
42268	Turno B
42269	Turno B
42270	Turno B
42271	Turno B
42272	Turno A
42273	Turno A
42274	Turno A
42275	Turno A
42276	Turno B
42277	Turno B
42278	Turno B
42279	Turno B
42280	Turno A
42281	Turno A
42282	Turno A
42283	Turno A
42284	Turno B
42285	Turno B
42286	Turno B
42287	Turno B
42288	Turno A
42289	Turno A
42290	Turno A
42291	Turno A
42292	Turno B
42293	Turno B
42294	Turno B
42295	Turno B
42296	Turno A
42297	Turno A
42298	Turno A
42299	Turno A
42300	Turno B
42301	Turno B
42302	Turno B
42303	Turno B
42304	Turno A
42305	Turno A
42306	Turno A
42307	Turno A
42308	Turno B
42309	Turno B
42310	Turno B
42311	Turno B
42312	Turno A
42313	Turno A
42314	Turno A
42315	Turno A
42316	Turno B
42317	Turno B
42318	Turno B
42319	Turno B
42320	Turno A
42321	Turno A
42322	Turno A
42323	Turno A
42324	Turno B
42325	Turno B
42326	Turno B
42327	Turno B
42328	Turno A
42329	Turno A
42330	Turno A
42331	Turno A
42332	Turno B
42333	Turno B
42334	Turno B
42335	Turno B
42336	Turno A
42337	Turno A
42338	Turno A
42339	Turno A
42340	Turno B
42341	Turno B
42342	Turno B
42343	Turno B
42344	Turno A
42345	Turno A
42346	Turno A
42347	Turno A
42348	Turno B
42349	Turno B
42350	Turno B
42351	Turno B
42352	Turno A
42353	Turno A
42354	Turno A
42355	Turno A
42356	Turno B
42357	Turno B
42358	Turno B
42359	Turno B
42360	Turno A
42361	Turno A
42362	Turno A
42363	Turno A
42364	Turno B
42365	Turno B
42366	Turno B
42367	Turno B
42368	Turno A
42369	Turno A
42370	Turno A
42371	Turno A
42372	Turno B
42373	Turno B
42374	Turno B
42375	Turno B
42376	Turno A
42377	Turno A
42378	Turno A
42379	Turno A
42380	Turno B
42381	Turno B
42382	Turno B
42383	Turno B
42384	Turno A
42385	Turno A
42386	Turno A
42387	Turno A
42388	Turno B
42389	Turno B
42390	Turno B
42391	Turno B
42392	Turno A
42393	Turno A
42394	Turno A
42395	Turno A
42396	Turno B
42397	Turno B
42398	Turno B
42399	Turno B
42400	Turno A
42401	Turno A
42402	Turno A
42403	Turno A
42404	Turno B
42405	Turno B
42406	Turno B
42407	Turno B
42408	Turno A
42409	Turno A
42410	Turno A
42411	Turno A
42412	Turno B
42413	Turno B
42414	Turno B
42415	Turno B
42416	Turno A
42417	Turno A
42418	Turno A
42419	Turno A
42420	Turno B
42421	Turno B
42422	Turno B
42423	Turno B
42424	Turno A
42425	Turno A
42426	Turno A
42427	Turno A
42428	Turno B
42429	Turno B
42430	Turno B
42431	Turno B
42432	Turno A
42433	Turno A
42434	Turno A
42435	Turno A
42436	Turno B
42437	Turno B
42438	Turno B
42439	Turno B
42440	Turno A
42441	Turno A
42442	Turno A
42443	Turno A
42444	Turno B
42445	Turno B
42446	Turno B
42447	Turno B
42448	Turno A
42449	Turno A
42450	Turno A
42451	Turno A
42452	Turno B
42453	Turno B
42454	Turno B
42455	Turno B
42456	Turno A
42457	Turno A
42458	Turno A
42459	Turno A
42460	Turno B
42461	Turno B
42462	Turno B
42463	Turno B
42464	Turno A
42465	Turno A
42466	Turno A
42467	Turno A
42468	Turno B
42469	Turno B
42470	Turno B
42471	Turno B
